year,voc,model_type,x_metric,y_metric,slope,intercept,r2,n,x1,y1,x2,y2
1982,LME,weighted,gdp_pc_unadjusted,post_tax_gini,7.393542580427798e-6,0.10787930431773261,0.8036078520395198,6,25221.3576,0.2943544856695289,38996.3,0.3962001088468692
1982,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.158934513782279e-6,0.47226775890315587,0.5431503374673599,10,16672.4344,0.4362730648482249,67060.5298,0.32748846660541087
1982,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,4.7210930870961505e-6,0.2815106671476851,0.7422655408698536,6,25221.3576,0.40058304416022505,38996.3,0.4656158295000127
1983,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.9400366334379997e-6,0.37017292092872867,0.11216574428574885,10,29589.6584,0.31276789966181223,61751.2058,0.2503733195177596
1983,LME,unweighted,gdp_pc_ppp,post_tax_gini,2.211631028945231e-6,0.2880996791630666,0.055899892144811704,6,24999.4002,0.34338912835040625,40370.3,0.3773838872908943
1983,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-1.055854716559294e-6,0.44158354983355735,0.12186372697837762,10,29589.6584,0.410341169450539,61751.2058,0.3763832479364037
1983,LME,unweighted,gdp_pc_ppp,pre_tax_gini,-2.6203897093078884e-7,0.457387547381831,0.0010884307182139404,6,24999.4002,0.4508367302795361,40370.3,0.4468089555136638
1983,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-1.0730329700528467e-6,0.32581062105848024,0.07157681718896404,10,17193.1188,0.3073618377280448,67195.6924,0.25370742766775073
1983,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,3.7617527289400644e-6,0.24502007235360207,0.14709877033351546,6,24999.4002,0.3390616342778169,40370.3,0.3968831585467312
1983,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-6.128610657152282e-7,0.41846680068983994,0.08564382603623931,10,17193.1188,0.4079298075791034,67195.6924,0.37728517703410325
1983,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,8.036533876136514e-7,0.4231310621201202,0.009312140306571659,6,24999.4002,0.44322191477915956,40370.3,0.4555747904740996
1983,CME,weighted,gdp_pc_ppp,post_tax_gini,-5.744251992954901e-6,0.5456724664079352,0.6025280260915429,10,29589.6584,0.37570201217288046,61751.2058,0.19095797942391696
1983,LME,weighted,gdp_pc_ppp,post_tax_gini,9.883690373888577e-6,0.004340796423997352,0.653565949926107,6,24999.4002,0.25142712753372554,40370.3,0.4033483419249914
1983,CME,weighted,gdp_pc_ppp,pre_tax_gini,-3.22843758718254e-6,0.5367646840986409,0.6070672344776142,10,29589.6584,0.44123631872818925,61751.2058,0.33740477024007637
1983,LME,weighted,gdp_pc_ppp,pre_tax_gini,6.1303720772626675e-6,0.2257754032359149,0.5119672785714211,6,24999.4002,0.37903102817030965,40370.3,0.473260363106632
1983,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-3.8920113527403295e-6,0.4406351502521326,0.5679900119546961,10,17193.1188,0.3737193366935194,67195.6924,0.17910875257608555
1983,LME,weighted,gdp_pc_unadjusted,post_tax_gini,8.013896482455564e-6,0.0863875884644328,0.8741310938533123,6,24999.4002,0.28673019379071174,40370.3,0.4099109936301087
1983,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.18940845419336e-6,0.47778188683019085,0.5733077349973802,10,17193.1188,0.44013912717552006,67195.6924,0.3306630698042543
1983,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,5.23449579414524e-6,0.26684446622776575,0.7593748411849646,6,24999.4002,0.39770372143081945,40370.3,0.4781626317861474
1984,CME,unweighted,gdp_pc_ppp,post_tax_gini,-1.909753365835416e-6,0.374007135770806,0.12365409146133173,10,30809.9297,0.31516776882507846,63380.8519,0.252965340525265
1984,LME,unweighted,gdp_pc_ppp,post_tax_gini,2.6003871583470543e-6,0.2792785125810715,0.062357100922096995,6,25951.8351,0.34676333131065185,42863.5,0.39074020754288047
1984,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-1.0198102819308514e-6,0.4427297976441475,0.12829368763105686,10,30809.9297,0.4113095145505208,63380.8519,0.37809335319899096
1984,LME,unweighted,gdp_pc_ppp,pre_tax_gini,9.151879500474066e-7,0.4156189035249372,0.016833904332679187,6,25951.8351,0.43936971029007454,42863.5,0.4548470622217942
1984,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-1.0478656368093877e-6,0.3286233760930111,0.07596131692011532,10,17902.1594,0.30986431843306694,68969.0212,0.256353108773153
1984,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,3.814300431399101e-6,0.2464671282948574,0.12505169280816983,6,25951.8351,0.3454552241123857,42863.5,0.4099613948361328
1984,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-5.961924474691882e-7,0.41983976854431143,0.08946781309930411,10,17902.1594,0.4091666363166419,68969.0212,0.3787209589955291
1984,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,1.797190252420812e-6,0.3891497513693628,0.06050653280920077,6,25951.8351,0.4357901364435151,42863.5,0.4661836157540023
1984,CME,weighted,gdp_pc_ppp,post_tax_gini,-5.788400026269431e-6,0.5554319188241972,0.6106518148972678,10,30809.9297,0.37709172093935783,63380.8519,0.18855819402125823
1984,LME,weighted,gdp_pc_ppp,post_tax_gini,9.366947534174855e-6,0.0173730946062822,0.6714262774263494,6,25951.8351,0.26046257240353965,42863.5,0.41887325023738614
1984,CME,weighted,gdp_pc_ppp,pre_tax_gini,-3.3875500820573813e-6,0.5479228340058117,0.6061120731024526,10,30809.9297,0.44355265412239453,63380.8519,0.3332170239510999
1984,LME,weighted,gdp_pc_ppp,pre_tax_gini,5.7412464648557745e-6,0.23596071931885915,0.5691968448460331,6,25951.8351,0.3849566008432541,42863.5,0.48205063716520463
1984,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-3.883109829530905e-6,0.44484147138431585,0.5738609470191159,10,17902.1594,0.37532542024834675,68969.0212,0.17702718722947047
1984,LME,weighted,gdp_pc_unadjusted,post_tax_gini,7.733994349854099e-6,0.09363057698950814,0.8607480556099851,6,25951.8351,0.2943419230212534,42863.5,0.42513664380447924
1984,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.2796547395536485e-6,0.4833923672279873,0.5731791482671442,10,17902.1594,0.4425816247035324,68969.0212,0.3261668111670312
