year,country,label,voc,gdp_pc_ppp,gdp_pc_unadjusted,pre_tax_gini,post_tax_gini,population
1996,GB,United Kingdom,LME,42487.9506,37146.3566,0.4813,0.3745,58298565
1996,NZ,New Zealand,LME,35503.1301,31967.8703,0.5374,0.4451,3729378
1996,US,United States,LME,54741.9,54741.9,0.5356,0.4484,270860696
1997,AT,Austria,CME,55463.2724,43399.9136,0.4208,0.3077,7969803
1997,BE,Belgium,CME,52944.4196,41047.5749,0.4479,0.3082,10181464
1997,CH,Switzerland,CME,71528.4699,77834.9992,0.4182,0.3091,7089163
1997,DE,Germany,CME,52407.4071,40326.1896,0.4286,0.3208,82389638
1997,DK,Denmark,CME,60540.8207,50854.5209,0.3971,0.1865,5285035
1997,FI,Finland,CME,46319.121,38447.1526,0.4198,0.2577,5139925
1997,JP,Japan,CME,44003.8952,25568.5344,0.4824,0.4246,126265929
1997,NL,Netherlands,CME,55619.7264,46458.8234,0.3852,0.2883,15723622
1997,NO,Norway,CME,80826.1703,68508.7995,0.3973,0.2496,4404986
1997,SE,Sweden,CME,47237.1292,38034.8734,0.4052,0.2404,8845524
1997,AU,Australia,LME,48888.5565,46015.2725,0.4546,0.3559,18504912
1997,CA,Canada,LME,48806.7368,41001.133,0.4902,0.3703,30059089
1997,GB,United Kingdom,LME,44467.2735,38876.8386,0.4816,0.3755,58447089
1997,NZ,New Zealand,LME,36134.0994,32536.0101,0.5471,0.4515,3776950
1997,US,United States,LME,56631.3,56631.3,0.5418,0.4545,273468013
1998,AT,Austria,CME,57353.305,44878.8608,0.4234,0.3109,7978466
1998,BE,Belgium,CME,53882.3614,41774.757,0.4507,0.3104,10203182
1998,CH,Switzerland,CME,73496.1499,79976.1658,0.4229,0.3105,7110291
1998,DE,Germany,CME,53709.1694,41327.8631,0.4375,0.3275,82011939
1998,DK,Denmark,CME,61659.4093,51794.1396,0.3951,0.1893,5304262
1998,FI,Finland,CME,48729.157,40447.6013,0.4247,0.2645,5153548
1998,JP,Japan,CME,43347.5631,25187.1716,0.4851,0.4319,126549181
1998,NL,Netherlands,CME,57833.2934,48307.8026,0.3828,0.2807,15827107
1998,NO,Norway,CME,82490.2511,69919.2854,0.3734,0.2297,4431313
1998,SE,Sweden,CME,49245.6423,39652.1084,0.4065,0.238,8850609
1998,AU,Australia,LME,50716.4788,47735.764,0.462,0.3626,18701717
1998,CA,Canada,LME,50255.4163,42218.1268,0.4918,0.3703,30329969
1998,GB,United Kingdom,LME,45844.4517,40080.8777,0.4875,0.3636,58626819
1998,NZ,New Zealand,LME,36358.4877,32738.0547,0.5628,0.4653,3811371
1998,US,United States,LME,58601,58601,0.5433,0.4574,276119333
1999,AT,Austria,CME,59407.0024,46485.8753,0.4107,0.2993,7993892
1999,BE,Belgium,CME,55673.3678,43163.3164,0.4534,0.3185,10226682
1999,CH,Switzerland,CME,74377.9775,80935.7425,0.4175,0.3078,7144121
1999,DE,Germany,CME,54946.3388,42279.8341,0.4363,0.3257,81678287
1999,DK,Denmark,CME,63267.9512,53145.321,0.4082,0.1995,5321810
