year,voc,model_type,x_metric,y_metric,slope,intercept,r2,n,x1,y1,x2,y2
2000,LME,weighted,gdp_pc_ppp,post_tax_gini,7.961056831336783e-6,-0.03470944958521095,0.8895669470860129,5,38541.4816,0.27212147579631,62696.3,0.46441935782932947
2000,CME,weighted,gdp_pc_ppp,pre_tax_gini,-3.756570290547273e-6,0.6582014909423058,0.7003053343458977,10,44229.96,0.4920485372542116,85840.4216,0.33573591343169346
2000,LME,weighted,gdp_pc_ppp,pre_tax_gini,4.930287597209959e-6,0.23923837168814957,0.8769608337612398,5,38541.4816,0.4292589603987254,62696.3,0.5483491619691043
2000,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-4.638904982633374e-6,0.5448128523646243,0.6964894817869435,10,25699.8897,0.42559350598216616,83671.5357,0.15666854850130807
2000,LME,weighted,gdp_pc_unadjusted,post_tax_gini,5.497456618962153e-6,0.1212666900844433,0.9275443784535932,5,34703.6748,0.31204863681601336,62696.3,0.46593687950388013
2000,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.5787367282999846e-6,0.5586351042678156,0.7080907891359471,10,25699.8897,0.49236185478516714,83671.5357,0.34286824204496225
2000,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,3.3533434592041603e-6,0.33878123099048363,0.8870858494324193,5,34703.6748,0.4551545718914119,62696.3,0.5490234585117855
2001,CME,unweighted,gdp_pc_ppp,post_tax_gini,-3.1448918941183735e-6,0.4903533777628322,0.290731963125122,10,44319.7156,0.35097266342276057,87172.3965,0.21620561461910937
2001,LME,unweighted,gdp_pc_ppp,post_tax_gini,1.5088067384113744e-6,0.31474551192033595,0.084079905622456,5,39523.4258,0.3743787230924779,62672.3,0.40930590047207516
2001,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-1.8995857889662508e-6,0.5411597979499772,0.365204669137571,10,44319.7156,0.4569706960251913,87172.3965,0.37556835236844577
2001,LME,unweighted,gdp_pc_ppp,pre_tax_gini,1.0723067845913604e-6,0.44328980049667555,0.08935463364215174,5,39523.4258,0.4856710381323088,62672.3,0.5104937329926207
2001,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-2.133704124442248e-6,0.4047111795993342,0.24422662902646597,10,25752.0424,0.3497639405176426,84444.417,0.22453177876031316
2001,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,2.0733948058707236e-6,0.29443108001440066,0.22136319783300393,5,35587.841,0.36821872469595385,62672.3,0.4243755013063724
2001,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-1.3562199347148424e-6,0.49292726399458503,0.33972071385561003,10,25752.0424,0.45800183073208317,84444.417,0.3784020622838121
2001,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,1.2223033269100934e-6,0.4408745670210982,0.1618651598794587,5,35587.841,0.4843737034729456,62672.3,0.5174791278162056
2001,CME,weighted,gdp_pc_ppp,post_tax_gini,-7.1221771678488185e-6,0.7527875212156779,0.7416577192917705,10,44319.7156,0.4371346546838048,87172.3965,0.1319302691967137
2001,LME,weighted,gdp_pc_ppp,post_tax_gini,7.81835443363581e-6,-0.03199141246151316,0.8614450747642141,5,39523.4258,0.2770167388743928,62672.3,0.4580028421096405
2001,CME,weighted,gdp_pc_ppp,pre_tax_gini,-4.3398114881741725e-6,0.6951146803833195,0.766605461260763,10,44319.7156,0.5027754694698274,87172.3965,0.31680291260094545
2001,LME,weighted,gdp_pc_ppp,pre_tax_gini,4.58666072583452e-6,0.25420180820660027,0.7958805299383561,5,39523.4258,0.43548235307389505,62672.3,0.5416583852143191
2001,CME,weighted,gdp_pc_unadjusted,post_tax_gini,-4.877351741675868e-6,0.562008892740226,0.7265611149277423,10,25752.0424,0.43640712388887526,84444.417,0.15014376841047272
2001,LME,weighted,gdp_pc_unadjusted,post_tax_gini,5.260826186960876e-6,0.1298715731331502,0.9103044789900985,5,35587.841,0.3170930190033502,62672.3,0.4595796501702184
2001,CME,weighted,gdp_pc_unadjusted,pre_tax_gini,-2.9860625089758718e-6,0.5794030187380392,0.7581479930933059,10,25752.0424,0.5025058103978421,84444.417,0.32724671104201447
2001,LME,weighted,gdp_pc_unadjusted,pre_tax_gini,3.0449386204366317e-6,0.35154566652266006,0.8186412462082405,5,35587.841,0.45990845800151825,62672.3,0.5423789732242508
2002,CME,unweighted,gdp_pc_ppp,post_tax_gini,-3.5927087647803435e-6,0.5207439754922508,0.3472744929659089,10,44260.2518,0.36172978091900587,87898.9836,0.2049485266972471
2002,LME,unweighted,gdp_pc_ppp,post_tax_gini,2.9749951459163494e-6,0.23374128910341466,0.3947231644330285,5,40773.1731,0.3550412811595217,63112.5,0.42150067025006027
2002,CME,unweighted,gdp_pc_ppp,pre_tax_gini,-2.1074351359769072e-6,0.5553803128208695,0.396073631342565,10,44260.2518,0.4621047030503644,87898.9836,0.37013890636557156
2002,LME,unweighted,gdp_pc_ppp,pre_tax_gini,2.1001711148108382e-6,0.38578808973076545,0.46246675665632014,5,40773.1731,0.4714187301345677,63112.5,0.5183351392142644
2002,CME,unweighted,gdp_pc_unadjusted,post_tax_gini,-2.573038412130226e-6,0.4294706950483457,0.3221229889405195,10,25717.4908,0.36329860335634,83779.5992,0.21390256815387093
2002,LME,unweighted,gdp_pc_unadjusted,post_tax_gini,2.9721108635908563e-6,0.2473646128562179,0.5577365142335259,5,36713.1434,0.35648014519192683,63112.5,0.4349419597345958
2002,CME,unweighted,gdp_pc_unadjusted,pre_tax_gini,-1.584991753516992e-6,0.5057829129235972,0.40515558780770483,10,25717.4908,0.46502090208444813,83779.5992,0.37299293907863845
2002,LME,unweighted,gdp_pc_unadjusted,pre_tax_gini,1.9052513409353244e-6,0.4047983700094825,0.5388336217997235,5,36713.1434,0.47474613570228336,63112.5,0.5250435452642631
2002,CME,weighted,gdp_pc_ppp,post_tax_gini,-7.810208835349619e-6,0.7964103623943767,0.7783720288929592,10,44260.2518,0.4507285527312178,87898.9836,0.10990094406340534
